ลำดับ,กลาง,ใต้,เหนือ,อีสาน,ชนิดของคำ,ความหมาย
4602,มะเร็ง/  เนื้องอก,มะเร็ง/  เนื้องอก,มะเร็ง/  สาน,ลูกมะเร็ง,น.,ชื่อโรคชนิดหนึ่ง ลักษณะเป็นก้อนหรือเป็น ไตออกตามร่างกายคนเรา
4603,มะละกอ,ลอกอ/  ก้วยลา/  ก้วยหลา/  แตงต้น/  มะเต๊ะ,มะละกอ/  มะก้วยเทศ/  บ่าก้วยเทศ/  ก้วยเทศ,มะละกอ/  หมากกอ/  หมักกอ/  บักกอ/  หมากหุ่ง/  หมักหุ่ง/  บักหุ่ง,น.,ชื่อพรรณไม้ล้มลุกชนิดหนึ่ง อายุหลายปี ลำต้นกลมตั้งตรง ไส้กลวง เนื้ออ่อน ใบเดี่ยว ทรงกลมโต ขอบจักโตเว้าแฉกลึกรูปนิ้วมือ ก้านกลมกลวงยาว ออกดอกเล็กสีเนิ้อเป็นช่อ ผลกลมยาวห้อยลงข้างต้น สีเขียว เมื่อ สุกสีเหลืองส้ม เมล็ดกลมเล็กสีดำ ใบ ผล ยางจากผลดิบ ต้มอ่อน และราก ใช้เป็นยา
4604,,,,มะลิ 105,น.,ชื่อพันธุ์ข้าวเจ้าชนิดหนึ่ง เป็นข้าวพันธุ์ผสม ที่ได้จากการส่งเสริมของรัฐ ลำต้นตั้ง แตก กอดี โคนต้นมีสีเขียว ใบและเมล็ดมีขน รวงใหญ่ เมล็ดถี่ หุงแล้วรับประทานไม่อร่อย
4605,มะลิ/  มะลิลา,มะลิ/  เบล้/  เหมร,มะลิ/  มะลิป้อม/  มะลิขี้ไก่,มะลิ/  มะลิลา,น.,ชื่อพรรณไม้พุ่มขนาดย่อมชนิดหนึ่ง กิ่งก้านสาขามาก ใบเดี่ยว รูปไข่ป้อมปลายแหลม ผิวและขอบเรียบ สีเขียวเข้ม ออกดอกมีโคน เป็นหลอดสีขาว กลีบดอกชั้นเดียวหรือสองชั้น กลิ่นหอมเย็น ใบสด ดอก เถา และราก ใช้เป็นยา
4606,มะลิ/  มะลิลา/  มะลุลี/  มะลิพวง/  มะลิหลวง,มะลิ/  มาลี/  ดอกลิ,มะลิ,มะลิ,น.,ชื่อพรรณไม้พุ่มรอเลื้อยชนิดหนึ่ง ใบเดี่ยว ปลายใบแหลม โคนใบสอบ ขอบใบเรียบไม่ มีจัก ผิวใบเรียบสีเขียวเข้มเป็นมัน ออกดอกสีขาวเป็นช่อ กลิ่นหอมทน
4607,มะลิดิน,อุตพิดนํ้า/  แก้มอ้น/  เปล้,มะลิดิน,มะลิ,น.,ชื่อพรรณไม้ล้มลุกขนาดเล็กชนิดหนึ่ง ใบรูปหัวใจ ขอบเรียบ แผ่ไปตามหน้าดิน ออก ดอกเล็กสีขาวมี 5 กลีบ ผลกลมฉํ่านํ้า สีแดงสด ทั้งต้นใช้เป็นยา
4608,,,,มะลิแดง,น.,ชื่อพันธุ์ข้าวเหนียวชนิดหนึ่ง ข้าวหนัก ลำต้นแข็งแรง แตกกอปานกลาง ปล้องสีขาว ใบสีเขียว ยาวเรียว รวงเล็กยาว เมล็ดจบห่าง ยาวเรียว เปลือกสีขาว ข้าวสารสีแดง เก็บ เกี่ยวเดือนธันวาคม เป็นข้าวพื้นบ้านของคนเชื้อสายเขมร
4609,มะลิถอด/  มะลิซ้อน,เบล้,มะลิกอด/  มะลิหลวง,มะลิถอด/  มะลิซ้อน/  มะลิดวง,น.,ชื่อพรรณไม้พุ่มชนิดหนึ่ง ออกดอกซ้อนกัน เป็นชั้น ๆ สีขาว ใบสด ดอก เถา และราก ใช้ เป็นยา
4610,มะลิเลื้อย/  มะลิป่า,เบล้/  เหมรป่า,ผักแส้ว,มะลิเลื้อย/  มะลิป่า,น.,ชื่อพรรณไม้เถาเลื้อยชนิดหนึ่ง เลื้อยไปตามพื้นดิน ใบเล็ก ออกดอกเล็กสีขาวหอมเย็น ใบสด ดอก เถา และราก ใช้เป็นยา
4611,มะลิวัน/  มะลิป่า,มะลิเลื้อย,มะลิป่า/  มะลิ,มะลิวัลย์,น.,ชื่อพรรณไม้พุ่มรอเลื้อยชนิดหนึ่ง ดอกสีขาว กลิ่นหอมเย็น รากใช้เป็นยา
